School_Code,School_Name,Region,School_Level,Distribution_Kitchen,FNS_Area,CEP,Region_Num
164,lynbrook es,Region 6,ES,Hayfield,9,1,6
060,madison hs,Region 1,HS,Chantilly,10,0,1
138,mantua es,Region 5,ES,Chantilly,1,0,5
070,marshall hs,Region 5,HS,Marshall,5,0,5
054,marshall road es,Region 1,ES,Chantilly,1,0,1
453,mason crest es,Region 2,ES,Falls Church,2,0,2
030,mclean hs,Region 2,HS,Marshall,5,0,2
335,mcnair es,Region 5,ES,Herndon,10,0,5
027,mcnair upper es,Region 5,ES,Herndon,10,0,5
053,mosaic es,Region 1,ES,Chantilly,1,0,1
203,mount eagle es,Region 3,ES,Mount Vernon,6,1,3
220,mount vernon hs,Region 3,HS,Mount Vernon,6,0,3
223,mount vernon woods es,Region 3,ES,Mount Vernon,6,1,3
332,navy es,Region 1,ES,Chantilly,1,0,1
352,newington forest es,Region 4,ES,South County,7,0,4
142,north springfield es,Region 6,ES,Hayfield,9,0,6
333,oak hill es,Region 5,ES,Westfield,10,0,5
392,oak view es,Region 4,ES,South County,7,0,4
052,oakton es,Region 1,ES,Chantilly,1,0,1
050,oakton hs,Region 1,HS,Chantilly,1,0,1
135,olde creek es,Region 5,ES,Chantilly,1,0,5
374,orange hunt es,Region 4,ES,South County,7,0,4
102,parklawn es,Region 2,ES,Falls Church,2,1,2
084,pine spring es,Region 2,ES,Falls Church,2,1,2
141,poe ms,Region 6,MS,Falls Church,9,1,6
264,poplar tree es,Region 5,ES,Westfield,8,0,5
396,providence es,Region 5,ES,Chantilly,1,0,5
143,ravensworth es,Region 4,ES,Chantilly,9,0,4
226,riverside es,Region 3,ES,Mount Vernon,6,1,3
390,robinson ss,Region 4,HS,Westfield,10,0,4
251,rocky run ms,Region 5,MS,Westfield,10,0,5
156,rolling valley es,Region 4,ES,South County,7,0,4
194,rose hill es,Region 3,ES,Hayfield,3,0,3
231,sandburg ms,Region 3,MS,Mount Vernon,6,0,3
377,sangster es,Region 4,ES,South County,7,0,4
354,saratoga es,Region 6,ES,South County,7,0,6
083,shrevewood es,Region 5,ES,Marshall,5,0,5
375,silverbrook es,Region 4,ES,South County,7,0,4
106,sleepy hollow es,Region 2,ES,Falls Church,2,1,2
420,south county hs,Region 4,HS,South County,7,0,4
422,south county ms,Region 4,MS,South County,7,0,4
320,south lakes hs,Region 1,HS,Herndon,10,0,1
018,spring hill es,Region 1,ES,Marshall,5,0,1
163,springfield estates es,Region 6,ES,Hayfield,3,0,6
065,stenwood es,Region 5,ES,Marshall,5,0,5
241,stone ms,Region 5,MS,Westfield,8,0,5
212,stratford landing es,Region 3,ES,Mount Vernon,6,0,3
325,sunrise valley es,Region 1,ES,Herndon,4,0,1
383,terra centre es,Region 4,ES,South County,9,0,4
323,terraset es,Region 1,ES,Herndon,4,0,1
061,thoreau ms,Region 1,MS,Marshall,5,0,1
082,timber lane es,Region 2,ES,Falls Church,2,0,2
191,twain ms,Region 3,MS,Hayfield,3,0,3
415,union mill es,Region 4,ES,Westfield,8,0,4
062,vienna es,Region 1,ES,Marshall,10,0,1
232,virginia run es,Region 5,ES,Westfield,8,0,5
132,wakefield forest es,Region 5,ES,Chantilly,1,0,5
445,waples mill es,Region 1,ES,Chantilly,1,0,1
222,washington mill es,Region 3,ES,Mount Vernon,6,1,3
213,waynewood es,Region 3,ES,Mount Vernon,6,0,3
200,west potomac hs,Region 3,HS,Mount Vernon,6,0,3
152,west springfield es,Region 4,ES,South County,7,0,4
150,west springfield hs,Region 4,HS,South County,7,0,4
048,westbriar es,Region 5,ES,Marshall,10,0,5
240,westfield hs,Region 5,HS,Westfield,8,0,5
075,westgate es,Region 5,ES,Marshall,5,0,5
095,westlawn es,Region 2,ES,Falls Church,2,1,2
112,weyanoke es,Region 6,ES,Hayfield,9,1,6
387,white oaks es,Region 4,ES,South County,9,0,4
221,whitman ms,Region 3,MS,Mount Vernon,6,1,3
424,willow springs es,Region 5,ES,Westfield,8,0,5
042,wolftrap es,Region 1,ES,Marshall,10,0,1
452,woodburn es,Region 2,ES,Falls Church,2,0,2
227,woodlawn es,Region 3,ES,Mount Vernon,6,1,3
229,woodley hills es,Region 3,ES,Mount Vernon,6,1,3
130,woodson hs,Region 5,HS,Chantilly,1,0,5
