school_code,date,meal,served_total,offered_total,planned_total,discarded_total,leftover_total,production_cost_total,discarded_cost_total,school_name,region,region_num,school_level,distribution_kitchen,fns_area,cep,school_name_norm,cost_per_meal,deviation_vs_planned,waste_qty,waste_rate,discarded_cost_per_meal,year,month,week,day
295,2025-05-28,Breakfast,4.0,0.0,154.0,10666.0,66.0,107.8,2.8400000000000003,Forestville Elementary,Region 1,1,ES,Herndon,4,0,FORESTVILLE ES,26.95,-150.0,10666.0,0.0,0.7100000000000001,2025,5,22,28
295,2025-05-28,Lunch,70.0,0.0,1330.0,33308.0,692.0,907.22,25.02,Forestville Elementary,Region 1,1,ES,Herndon,4,0,FORESTVILLE ES,12.960285714285714,-1260.0,33308.0,0.0,0.3574285714285714,2025,5,22,28
30,2025-05-28,Lunch,0.0,0.0,8546.0,0.0,626.0,1988.36,0.0,McLean High,Region 2,2,HS,Marshall,5,0,MCLEAN HS,0.0,-8546.0,626.0,0.0,0.0,2025,5,22,28
30,2025-05-28,Breakfast,0.0,0.0,736.0,0.0,586.0,206.02,0.0,McLean High,Region 2,2,HS,Marshall,5,0,MCLEAN HS,0.0,-736.0,586.0,0.0,0.0,2025,5,22,28
100,2025-05-28,Breakfast,0.0,0.0,1922.0,0.0,602.0,805.96,0.0,Justice High,Region 2,2,HS,Falls Church,2,1,JUSTICE HS,0.0,-1922.0,602.0,0.0,0.0,2025,5,22,28
26,2025-05-28,Breakfast,12.0,0.0,384.0,42194.0,112.0,197.98,2.9000000000000004,Churchill Road Elementary,Region 1,1,ES,Marshall,5,0,CHURCHILL ROAD ES,16.49833333333333,-372.0,42194.0,0.0,0.2416666666666667,2025,5,22,28
420,2025-05-28,Lunch,26.0,268.0,12630.0,2800.0,4084.0,2922.44,17.82,SOUTH COUNTY HS,Region 4,4,HS,South County,7,0,SOUTH COUNTY HS,112.40153846153846,-12604.0,2800.0,10.447761194029852,0.6853846153846154,2025,5,22,28
323,2025-05-28,Breakfast,0.0,0.0,670.0,0.0,154.0,251.88,0.0,Terraset Elementary,Region 1,1,ES,Herndon,4,0,TERRASET ES,0.0,-670.0,154.0,0.0,0.0,2025,5,22,28
323,2025-05-28,Lunch,38.0,0.0,1754.0,7248.0,1424.0,1042.28,51.08,Terraset Elementary,Region 1,1,ES,Herndon,4,0,TERRASET ES,27.428421052631577,-1716.0,7248.0,0.0,1.3442105263157895,2025,5,22,28
255,2025-05-28,Lunch,44.0,20.0,2658.0,24958.0,660.0,1146.6,33.14,Greenbriar West Elementary,Region 5,5,ES,Westfield,8,0,GREENBRIAR WEST ES,26.059090909090912,-2614.0,24958.0,1247.9,0.7531818181818182,2025,5,22,28
255,2025-05-28,Breakfast,8.0,4.0,574.0,4940.0,226.0,191.24,5.4799999999999995,Greenbriar West Elementary,Region 5,5,ES,Westfield,8,0,GREENBRIAR WEST ES,23.905,-566.0,4940.0,1235.0,0.6849999999999999,2025,5,22,28
102,2025-05-28,Breakfast,0.0,0.0,2634.0,0.0,702.0,1017.56,0.0,Parklawn Elementary,Region 2,2,ES,Falls Church,2,1,PARKLAWN ES,0.0,-2634.0,702.0,0.0,0.0,2025,5,22,28
26,2025-05-28,Lunch,114.0,506.0,1610.0,19202.0,222.0,1120.6,27.94,Churchill Road Elementary,Region 1,1,ES,Marshall,5,0,CHURCHILL ROAD ES,9.829824561403507,-1496.0,19202.0,37.948616600790515,0.2450877192982456,2025,5,22,28
102,2025-05-28,Lunch,66.0,18.0,4598.0,4680.0,1888.0,3134.46,33.84,Parklawn Elementary,Region 2,2,ES,Falls Church,2,1,PARKLAWN ES,47.49181818181818,-4532.0,4680.0,260.0,0.5127272727272728,2025,5,22,28
287,2025-05-28,Lunch,46.0,0.0,5216.0,4042.0,870.0,3605.76,57.599999999999994,Hutchison Elementary,Region 1,1,ES,Herndon,4,1,HUTCHISON ES,78.38608695652174,-5170.0,4042.0,0.0,1.252173913043478,2025,5,22,28
287,2025-05-28,Breakfast,0.0,0.0,2498.0,0.0,762.0,682.98,0.0,Hutchison Elementary,Region 1,1,ES,Herndon,4,1,HUTCHISON ES,0.0,-2498.0,762.0,0.0,0.0,2025,5,22,28
453,2025-05-28,Lunch,68.0,222.0,4774.0,9870.0,1176.0,2449.58,37.58,Mason Crest Elementary,Region 2,2,ES,Falls Church,2,0,MASON CREST ES,36.02323529411765,-4706.0,9870.0,44.45945945945946,0.5526470588235294,2025,5,22,28
252,2025-05-28,Lunch,20.0,118.0,1866.0,4712.0,640.0,638.38,15.38,Lees Corner Elementary,Region 5,5,ES,Westfield,10,0,LEES CORNER ES,31.919,-1846.0,4712.0,39.932203389830505,0.769,2025,5,22,28
453,2025-05-28,Breakfast,6.0,116.0,1502.0,558.0,336.0,550.04,2.7,Mason Crest Elementary,Region 2,2,ES,Falls Church,2,0,MASON CREST ES,91.67333333333332,-1496.0,558.0,4.810344827586207,0.45,2025,5,22,28
420,2025-05-28,Breakfast,0.0,12.0,716.0,0.0,324.0,254.46,0.0,SOUTH COUNTY HS,Region 4,4,HS,South County,7,0,SOUTH COUNTY HS,0.0,-716.0,324.0,27.0,0.0,2025,5,22,28
136,2025-05-28,Breakfast,0.0,0.0,832.0,0.0,242.0,331.94,0.0,Eagle View Elementary,Region 5,5,ES,Westfield,8,0,EAGLE VIEW ES,0.0,-832.0,242.0,0.0,0.0,2025,5,22,28
123,2025-05-29,Lunch,4.0,328.0,2564.0,142.0,742.0,1363.1799999999998,3.76,Bush Hill Elementary,Region 3,3,ES,Hayfield,3,0,BUSH HILL ES,340.79499999999996,-2560.0,142.0,0.4329268292682927,0.94,2025,5,22,29
123,2025-05-29,Breakfast,6.0,2.0,924.0,4186.0,52.0,235.34,3.1399999999999997,Bush Hill Elementary,Region 3,3,ES,Hayfield,3,0,BUSH HILL ES,39.223333333333336,-918.0,4186.0,2093.0,0.5233333333333333,2025,5,22,29
245,2025-05-29,Breakfast,0.0,0.0,952.0,0.0,384.0,562.56,0.0,London Towne Elementary,Region 5,5,ES,Westfield,8,1,LONDON TOWNE ES,0.0,-952.0,384.0,0.0,0.0,2025,5,22,29
96,2025-05-29,Lunch,0.0,20.0,3248.0,0.0,472.0,1710.92,0.0,Beech Tree Elementary,Region 2,2,ES,Falls Church,2,1,BEECH TREE ES,0.0,-3248.0,472.0,23.6,0.0,2025,5,22,29
424,2025-05-29,Lunch,42.0,96.0,1378.0,13604.0,474.0,1436.64,13.54,Willow Springs Elementary,Region 5,5,ES,Westfield,8,0,WILLOW SPRINGS ES,34.205714285714286,-1336.0,13604.0,141.70833333333334,0.3223809523809524,2025,5,22,29
501,2025-05-29,Breakfast,10.0,0.0,790.0,5982.0,394.0,359.86,3.44,Johnson Middle,Region 5,5,MS,Chantilly,1,0,JOHNSON MS,35.986000000000004,-780.0,5982.0,0.0,0.344,2025,5,22,29
42,2025-05-29,Lunch,82.0,0.0,1334.0,21074.0,262.0,798.42,42.2,Wolftrap Elementary,Region 1,1,ES,Marshall,10,0,WOLFTRAP ES,9.736829268292682,-1252.0,21074.0,0.0,0.5146341463414634,2025,5,22,29
221,2025-05-29,Lunch,6.0,148.0,4706.0,722.0,1086.0,2398.2,1.62,Whitman Middle School,Region 3,3,MS,Mount Vernon,6,1,WHITMAN MS,399.7,-4700.0,722.0,4.878378378378378,0.27,2025,5,22,29
71,2025-05-29,Breakfast,0.0,0.0,652.0,0.0,182.0,132.68,0.0,Kilmer Middle,Region 5,5,MS,Marshall,5,0,KILMER MS,0.0,-652.0,182.0,0.0,0.0,2025,5,22,29
127,2025-05-29,Breakfast,30.0,0.0,464.0,9734.0,182.0,251.3,14.42,Lane Elementary,Region 6,6,ES,Hayfield,3,0,LANE ES,8.376666666666667,-434.0,9734.0,0.0,0.4806666666666667,2025,5,22,29
202,2025-05-29,Lunch,34.0,216.0,1276.0,20000.0,156.0,631.5,0.0,Belle View Elementary,Region 3,3,ES,Mount Vernon,6,0,BELLE VIEW ES,18.573529411764707,-1242.0,20000.0,92.5925925925926,0.0,2025,5,22,29
127,2025-05-29,Lunch,124.0,0.0,2484.0,26584.0,756.0,1154.06,55.620000000000005,Lane Elementary,Region 6,6,ES,Hayfield,3,0,LANE ES,9.306935483870967,-2360.0,26584.0,0.0,0.4485483870967742,2025,5,22,29
202,2025-05-29,Breakfast,0.0,0.0,426.0,0.0,122.0,127.5,0.0,Belle View Elementary,Region 3,3,ES,Mount Vernon,6,0,BELLE VIEW ES,0.0,-426.0,122.0,0.0,0.0,2025,5,22,29
501,2025-05-29,Lunch,108.0,16.0,5728.0,42496.0,1574.0,3594.4,59.26,Johnson Middle,Region 5,5,MS,Chantilly,1,0,JOHNSON MS,33.281481481481485,-5620.0,42496.0,2656.0,0.5487037037037037,2025,5,22,29
424,2025-05-29,Breakfast,0.0,34.0,294.0,0.0,34.0,225.82,0.0,Willow Springs Elementary,Region 5,5,ES,Westfield,8,0,WILLOW SPRINGS ES,0.0,-294.0,34.0,1.0,0.0,2025,5,22,29
20,2025-05-29,Breakfast,2.0,18.0,234.0,1176.0,166.0,117.56,0.64,Langley High,Region 1,1,HS,Marshall,5,0,LANGLEY HS,58.78,-232.0,1176.0,65.33333333333333,0.32,2025,5,22,29
96,2025-05-29,Breakfast,0.0,0.0,1290.0,0.0,130.0,426.08,0.0,Beech Tree Elementary,Region 2,2,ES,Falls Church,2,1,BEECH TREE ES,0.0,-1290.0,130.0,0.0,0.0,2025,5,22,29
