school_name,session,served_wmape,cpm_mae,wastecost_mae,waste_per_100_implied,stockout_day_rate_implied
Aldrin Elementary,Breakfast,0.6739130434782609,49.88546428571429,6.5177499999999995,60.869565217391305,30.0
Annandale High,Breakfast,0.7982456140350878,443.69060854341734,40.82075,50.87719298245614,40.0
Annandale Terrace Elementary,Breakfast,0.5,63.45000000000002,7.496749999999999,250.0,5.0
Armstrong Elementary,Breakfast,0.5913978494623656,15.66524550960735,8.4235,39.784946236559136,35.0
Beech Tree Elementary,Breakfast,0.9423076923076923,57.51128947368421,11.482,128.84615384615384,10.0
Belle View Elementary,Breakfast,1.0,,5.07725,0.0,0.0
Belvedere Elementary,Breakfast,1.0,77.93248452012384,17.434999999999995,0.0,20.0
Bonnie Brae Elementary,Breakfast,0.6100917431192661,24.507114505012538,9.731000000000002,80.73394495412845,10.0
Braddock Elementary,Breakfast,,,0.0,,
Bren Mar Park Elementary,Breakfast,0.45161290322580644,32.43017449128411,7.9762499999999985,66.66666666666667,35.0
Brookfield Elementary,Breakfast,0.46631205673758863,14.809295811721821,7.914249999999998,25.177304964539008,45.0
Bucknell Elementary,Breakfast,1.0,23.295000000000016,15.29025,250.0,5.882352941176471
Bull Run Elementary,Breakfast,1.0,,8.638,100.0,0.0
Bush Hill Elementary,Breakfast,0.9134615384615384,45.17991587823941,4.725499999999999,75.0,25.0
CHANTILLY HS,Breakfast,0.6470588235294118,77.532,32.38625000000001,24.242424242424242,29.41176470588235
Camelot Elementary,Breakfast,0.9102564102564102,60.48474652777778,5.749499999999999,94.44444444444444,31.57894736842105
Cameron Elementary,Breakfast,,,24.548249999999996,,
Canterbury Woods Elementary,Breakfast,0.875,15.4185,6.81875,200.0,20.0
Cardinal Forest Elementary,Breakfast,1.0,,13.513499999999999,200.0,0.0
Carson Middle,Breakfast,0.5763888888888888,12.329053347014415,5.103249999999999,54.861111111111114,20.0
Centre Ridge Elementary,Breakfast,,,13.300999999999998,,
Centreville Elementary,Breakfast,0.5694444444444444,58.951796875,10.157749999999998,69.44444444444444,15.0
Centreville High,Breakfast,0.6764705882352942,47.71744444444445,10.322000000000003,53.333333333333336,15.789473684210526
Cherry Run Elementary,Breakfast,1.0,3.25,2.85675,200.0,9.090909090909092
Chesterbrook Elementary,Breakfast,1.0404040404040404,19.537187990196077,12.805000000000001,140.40404040404042,30.0
Churchill Road Elementary,Breakfast,0.95,7.058622448979591,6.650499999999999,8.333333333333334,63.63636363636363
Clearview Elementary,Breakfast,0.595679012345679,27.084573692810455,8.34875,18.51851851851852,45.0
Clermont Elementary,Breakfast,0.7647058823529411,44.9197962962963,9.307000000000002,305.88235294117646,25.0
Coates Elementary,Breakfast,,,43.931000000000004,,
Colin Powell Elementary,Breakfast,,,5.529750000000002,,
Columbia Elementary,Breakfast,,,19.575750000000003,,
Colvin Run Elementary,Breakfast,0.7346938775510204,10.123050170068026,6.55025,153.0612244897959,25.0
Cooper Middle,Breakfast,0.58,18.93188333333333,3.437999999999999,54.166666666666664,31.57894736842105
Crestwood Elementary,Breakfast,1.0483870967741935,47.42473076923077,9.608749999999997,119.35483870967742,15.0
Crossfield Elementary,Breakfast,0.3443708609271523,2.743894255675073,1.1780000000000002,9.933774834437086,40.0
Cub Run Elementary,Breakfast,0.6333333333333333,32.51327838827839,6.9335,44.44444444444444,40.0
Cunningham Park Elementary,Breakfast,1.0,36.49555555555555,6.302249999999999,25.0,21.428571428571427
Daniels Run Elementary,Breakfast,0.9054054054054054,69.32349404761905,12.059999999999997,74.19354838709677,31.25
Deer Park Elementary,Breakfast,0.631578947368421,29.719089876033056,11.5175,19.736842105263158,45.0
Dogwood Elementary,Breakfast,,,10.453999999999999,12600.0,0.0
Dranesville Elementary,Breakfast,,,7.735499999999999,,
Eagle View Elementary,Breakfast,1.0,,14.253500000000003,0.0,0.0
Edison High,Breakfast,,,15.084,,
FALLS CHURCH HS,Breakfast,,,46.36424999999999,,
Fairfax High,Breakfast,0.5448717948717948,29.950162265512258,15.84475,58.97435897435897,20.0
Fairfax Villa Elementary,Breakfast,,,4.357750000000001,,
Fairhill Elementary,Breakfast,,,13.698249999999998,,
Fairview Elementary,Breakfast,1.0,54.14833333333333,3.1635,20.0,30.0
Flint Hill Elementary,Breakfast,1.0,24.19090277777778,3.0274999999999994,0.0,40.0
Floris Elementary,Breakfast,1.1604938271604939,25.051912069168647,13.220749999999995,237.03703703703704,15.0
